UserID,University
1,
2,University of Oklahoma
2,University of Virginia
3,University of Texas at Austin
4,University at Buffalo SUNY
5,Wake Forest University
5,Stanford University
6,
7,
8,"University of California, Los Angeles (UCLA)"
9,
10,"University of California, Los Angeles (UCLA)"
11,
12,"University of California, Irvine"
12,University of Vermont
12,Dartmouth College
13,University of Pittsburgh
13,Vanderbilt University
14,University of Texas at Austin
15,
16,
17,
18,
19,University of Notre Dame
19,Indiana University Bloomington
20,University of South Florida
21,Georgia Institute of Technology
21,Arizona State University
22,
23,University of Florida
23,"The University of Tennessee, Knoxville"
24,University of Rochester
24,University of Florida
24,Case Western Reserve University
25,
26,Clark University
27,University of Minnesota
27,Brown University
27,"The University of Tennessee, Knoxville"
28,
29,University of Chicago
29,Harvard University
30,
31,
32,
33,University of Colorado Boulder
34,
35,
36,
37,
38,
39,
40,Oregon State University
40,University of Texas Dallas
40,"University of California, Berkeley (UCB)"
41,
42,University of Miami
42,Harvard University
43,"The University of Tennessee, Knoxville"
43,Georgia Institute of Technology
43,"University of Maryland, Baltimore County"
44,"University of California, Irvine"
45,University of Iowa
45,University of Chicago
46,"University of California, Davis"
46,"University of Maryland, Baltimore County"
46,Vanderbilt University
47,
48,
49,Brandeis University
50,University of Pennsylvania
50,University of Texas at Austin
51,University of New Mexico
51,"University of Maryland, College Park"
52,
53,Oregon State University
53,Iowa State University
53,Washington State University
54,
55,
56,
57,
58,
59,
60,"The University of Tennessee, Knoxville"
61,
62,Rutgers University - New Brunswick
63,
64,University of Colorado Boulder
64,University at Buffalo SUNY
64,Washington University in St. Louis
65,
66,University of Massachusetts Amherst
67,Wake Forest University
68,
69,
70,
71,The University of Arizona
72,
73,Boston College
73,University of Texas at Austin
74,
75,Georgetown University
76,University of New Mexico
76,New York University
76,"University of California, Irvine"
77,Princeton University
77,Brandeis University
78,
79,University of Utah
79,"University of Illinois, Chicago (UIC)"
80,
81,
82,
83,University at Buffalo SUNY
83,Case Western Reserve University
83,Rutgers University - New Brunswick
84,University of New Mexico
84,University of Colorado Boulder
84,Boston College
85,
86,Princeton University
86,"University of California, Santa Cruz"
87,
88,University of Kansas
88,"University of Maryland, Baltimore County"
89,
90,
91,
92,
93,
94,
95,"University of California, Riverside"
96,
97,Texas A&M University
97,The New School
97,Rutgers University - New Brunswick
98,
99,"University of California, San Diego (UCSD)"
100,
101,"University of California, Irvine"
102,
103,
104,
105,
106,
107,
108,Washington University in St. Louis
108,Carnegie Mellon University
109,University of Texas at Austin
110,University of Virginia
111,
112,
113,"University of California, Irvine"
114,
115,University of Wisconsin-Madison
115,Tufts University
116,University of Massachusetts Amherst
117,
118,
119,Yale University
120,
121,Johns Hopkins University
121,University of Massachusetts Amherst
121,"University of California, San Diego (UCSD)"
122,
123,
124,Arizona State University
125,Howard University
125,Lehigh University
126,Wake Forest University
127,
128,
129,
130,University of Massachusetts Amherst
130,Tufts University
131,
132,Indiana University Bloomington
133,
134,
135,George Washington University
135,University of Florida
135,Rutgers University - New Brunswick
136,"University of Illinois, Chicago (UIC)"
136,Rutgers University - New Brunswick
137,Wake Forest University
138,"University of Illinois, Chicago (UIC)"
138,University of Delaware
139,California Institute of Technology (Caltech)
139,"University of Maryland, Baltimore County"
139,Wayne State University
140,
141,Massachusets Institute of Technology
142,
143,
144,The Ohio State University
144,University of Wisconsin-Madison
144,University of Colorado Boulder
145,
146,Georgia Institute of Technology
146,Virginia Polytechnic Institute and State University
146,Indiana University Bloomington
147,
148,
149,
150,Georgetown University
151,
152,
153,University of Pittsburgh
153,"University of California, Santa Cruz"
154,"The University of Tennessee, Knoxville"
154,University of Texas Dallas
154,Georgia Institute of Technology
155,
156,
157,"University of Colorado, Denver"
157,Yale University
157,"University of Maryland, College Park"
158,
159,
160,Colorado State University
161,University of Illinois at Urbana-Champaign
162,
163,
164,
165,George Washington University
165,"University of California, San Diego (UCSD)"
166,
167,
168,
169,
170,Virginia Polytechnic Institute and State University
171,
172,
173,Iowa State University
173,University of Iowa
174,
175,
176,
177,
178,"University of California, Santa Cruz"
179,
180,Northeastern University
181,
182,Iowa State University
183,
184,"University of California, Santa Cruz"
184,New York University
185,Dartmouth College
185,Northwestern University
186,"University of California, Berkeley (UCB)"
186,George Washington University
186,Vanderbilt University
187,Virginia Polytechnic Institute and State University
188,
189,University of Pittsburgh
190,Clark University
191,
192,University of Colorado Boulder
193,Massachusets Institute of Technology
193,Rutgers University - New Brunswick
193,Arizona State University
194,
195,
196,
197,"University of North Carolina, Chapel Hill"
197,Rice University
198,University of Connecticut
199,
200,University of Kansas
200,Georgia Institute of Technology
200,University of Oklahoma
201,
202,
203,
204,
205,
206,"University of North Carolina, Chapel Hill"
206,University of Vermont
207,University of Miami
207,"The University of Tennessee, Knoxville"
208,"University of Maryland, Baltimore County"
208,Wake Forest University
208,University of Miami
209,
210,University of New Mexico
211,Cornell University
211,University of Illinois at Urbana-Champaign
211,The Katz School at Yeshiva University
212,Florida State University
212,The Ohio State University
212,Wake Forest University
213,California Institute of Technology (Caltech)
214,
215,
216,
217,
218,
219,
220,North Carolina State University
221,
222,Iowa State University
222,Pennsylvania State University
223,
